date,source,qqq,tqqq,vix,ma50,ma100,ma200,ma200_rising,vs_ma50_pct,vs_ma100_pct,vs_ma200_pct,vix_pctile_2y,tqqq_rvol20,tqqq_rvol60,qqq_dd_1y,tqqq_dd_1y,direction_ok,target_weight,rc_signal,rc_trend_count,rc_direction,rc_n_days,rc_asof,rc_qqq_cum,rc_lev_cum,cross_agree,n_blocking,n_warnings,collected_at
2016-07-21,reconstructed,113.18,2.332917,12.74,108.5622,108.1572,108.14295,True,4.253599,4.643981,4.65777,2.272727,0.659193,0.479506,-1.71935,-10.3873,True,0.531,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-22,reconstructed,113.650002,2.36,12.02,108.708,108.2358,108.1862,True,4.546125,5.002228,5.050368,1.357466,0.64719,0.476692,-1.311221,-9.346983,True,0.5408,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-25,reconstructed,113.660004,2.362083,12.87,108.8634,108.3141,108.22635,True,4.406075,4.935556,5.020638,3.603604,0.433233,0.469957,-1.302536,-9.266968,True,0.8079,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-26,reconstructed,113.790001,2.37,13.05,109.0292,108.3957,108.26505,True,4.366537,4.976489,5.103171,4.484305,0.345285,0.4682,-1.189652,-8.962861,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-27,reconstructed,114.580002,2.41625,12.83,109.1844,108.4848,108.3053,True,4.941733,5.618484,5.793531,3.571429,0.298819,0.466984,-0.503649,-7.186288,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-28,reconstructed,114.980003,2.4425,12.72,109.3744,108.5844,108.34625,True,5.125151,5.889983,6.122734,2.666667,0.262776,0.462872,-0.156305,-6.17796,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-07-29,reconstructed,115.230003,2.458542,11.87,109.5618,108.695201,108.3919,True,5.173521,6.012044,6.308685,0.884956,0.246633,0.46014,0.0,-5.561751,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-01,reconstructed,115.839996,2.497083,12.44,109.7724,108.8054,108.44145,True,5.527433,6.4653,6.822618,2.643172,0.247091,0.460533,0.0,-4.081308,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-02,reconstructed,114.959999,2.440833,13.37,109.9422,108.9084,108.4779,True,4.564033,5.556595,5.975502,9.649123,0.254821,0.463547,-0.759666,-6.241995,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-03,reconstructed,115.339996,2.463958,12.86,110.1224,108.9969,108.514,True,4.737997,5.81952,6.290429,5.240175,0.249864,0.463576,-0.43163,-5.353713,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-04,reconstructed,115.669998,2.486042,12.42,110.2666,109.0869,108.54865,True,4.900303,6.034728,6.560513,2.173913,0.249871,0.457079,-0.146753,-4.505416,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-05,reconstructed,116.779999,2.557917,11.39,110.4174,109.1884,108.59165,True,5.762315,6.952752,7.540496,0.4329,0.222105,0.455182,0.0,-1.744528,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-08,reconstructed,116.650002,2.549792,11.5,110.5592,109.2791,108.6373,True,5.509086,6.745024,7.375645,0.862069,0.223466,0.453797,-0.111318,-2.056631,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-09,reconstructed,116.919998,2.566667,11.66,110.695,109.3731,108.67335,True,5.623558,6.900141,7.588473,1.287554,0.221378,0.452397,0.0,-1.408422,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-10,reconstructed,116.620003,2.546875,12.05,110.8206,109.4656,108.69255,True,5.233145,6.535754,7.293464,3.418803,0.221991,0.447815,-0.256582,-2.168681,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-11,reconstructed,117.120003,2.579792,11.68,110.956001,109.5589,108.7139,True,5.555357,6.901404,7.732316,1.702128,0.217659,0.439046,0.0,-0.904263,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-12,reconstructed,117.199997,2.584583,11.55,111.0884,109.6497,108.7345,True,5.501561,6.885834,7.785474,1.271186,0.213622,0.438931,0.0,-0.720229,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-15,reconstructed,117.699997,2.617083,11.81,111.2412,109.7544,108.7529,True,5.806119,7.239433,8.226996,2.953586,0.209312,0.436958,0.0,0.0,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-16,reconstructed,117.050003,2.575833,12.64,111.373,109.8523,108.76895,True,5.097288,6.552164,7.613434,6.302521,0.215932,0.435292,-0.552246,-1.576182,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
2016-08-17,reconstructed,117.260002,2.587917,12.19,111.514601,109.9538,108.7886,True,5.152152,6.644792,7.787031,5.020921,0.18931,0.43481,-0.373827,-1.114446,True,1.0,,,,,,,,,,,2026-08-21T03:22:00Z
