ts_et,symbol,open,high,low,close,volume
2026-06-02 03:15:00,VIX,16.280001,16.280001,16.25,16.26,0
2026-06-02 03:30:00,VIX,16.25,16.26,16.24,16.24,0
2026-06-02 03:45:00,VIX,16.24,16.26,16.23,16.23,0
2026-06-02 04:00:00,QQQ,741.9,742.74,737.7417,742.48,0
2026-06-02 04:00:00,TQQQ,85.76,86.04,84.3,85.959,0
2026-06-02 04:00:00,VIX,16.219999,16.219999,16.18,16.200001,0
2026-06-02 04:15:00,QQQ,742.4615,742.6859,741.9,742.2582,0
2026-06-02 04:15:00,TQQQ,85.95,86.02,85.75,85.85,0
2026-06-02 04:15:00,VIX,16.209999,16.23,16.190001,16.23,0
2026-06-02 04:30:00,QQQ,742.2503,742.695,742.1819,742.32,0
2026-06-02 04:30:00,TQQQ,85.84,86.02,85.83,85.87,0
2026-06-02 04:30:00,VIX,16.23,16.23,16.190001,16.200001,0
2026-06-02 04:45:00,QQQ,742.249,742.6178,742.09,742.28,0
2026-06-02 04:45:00,TQQQ,85.87,86.0095,85.82,85.88,0
2026-06-02 04:45:00,VIX,16.200001,16.200001,16.17,16.190001,0
2026-06-02 05:00:00,QQQ,742.23,742.2788,741.76,742.0115,0
2026-06-02 05:00:00,TQQQ,85.88,85.88,85.69,85.8,0
2026-06-02 05:00:00,VIX,16.18,16.219999,16.18,16.209999,0
2026-06-02 05:15:00,QQQ,742.07,742.3312,741.75,741.96,0
2026-06-02 05:15:00,TQQQ,85.8,85.9101,85.7,85.75,0
2026-06-02 05:15:00,VIX,16.209999,16.219999,16.190001,16.200001,0
2026-06-02 05:30:00,QQQ,741.9812,743.08,741.9687,743.01,0
2026-06-02 05:30:00,TQQQ,85.8,86.15,85.76,86.125,0
2026-06-02 05:30:00,VIX,16.200001,16.200001,16.120001,16.139999,0
2026-06-02 05:45:00,QQQ,742.97,743.15,742.67,742.7287,0
2026-06-02 05:45:00,TQQQ,86.13,86.19,86.018,86.02,0
2026-06-02 05:45:00,VIX,16.139999,16.17,16.139999,16.15,0
2026-06-02 06:00:00,QQQ,742.6578,742.77,742.39,742.57,0
2026-06-02 06:00:00,TQQQ,86.01,86.07,85.92,85.971,0
2026-06-02 06:00:00,VIX,16.15,16.17,16.139999,16.139999,0
2026-06-02 06:15:00,QQQ,742.58,742.6885,742.2204,742.42,0
2026-06-02 06:15:00,TQQQ,85.9812,86.0203,85.87,85.93,0
2026-06-02 06:15:00,VIX,16.139999,16.15,16.110001,16.120001,0
2026-06-02 06:30:00,QQQ,742.4315,742.4315,741.86,741.92,0
2026-06-02 06:30:00,TQQQ,85.92,85.93,85.7491,85.76,0
2026-06-02 06:30:00,VIX,16.120001,16.139999,16.110001,16.129999,0
2026-06-02 06:45:00,QQQ,741.9674,742.1,741.75,741.8,0
2026-06-02 06:45:00,TQQQ,85.78,85.83,85.69,85.71,0
2026-06-02 06:45:00,VIX,16.129999,16.139999,16.120001,16.129999,0
2026-06-02 07:00:00,QQQ,741.775,742.74,741.1665,742.16,0
2026-06-02 07:00:00,TQQQ,85.71,85.85,85.5,85.845,0
2026-06-02 07:00:00,VIX,16.139999,16.16,16.129999,16.16,0
2026-06-02 07:15:00,QQQ,742.111,742.26,741.7,742.25,0
2026-06-02 07:15:00,TQQQ,85.83,85.8713,85.69,85.871,0
2026-06-02 07:15:00,VIX,16.15,16.16,16.139999,16.15,0
2026-06-02 07:30:00,QQQ,742.2078,742.9,742.2078,742.3502,0
2026-06-02 07:30:00,TQQQ,85.87,86.09,85.8602,85.9,0
2026-06-02 07:30:00,VIX,16.139999,16.139999,16.1,16.139999,0
2026-06-02 07:45:00,QQQ,742.33,742.4,741.8,741.8,0
2026-06-02 07:45:00,TQQQ,85.9,85.9299,85.73,85.73,0
2026-06-02 07:45:00,VIX,16.139999,16.17,16.139999,16.17,0
2026-06-02 08:00:00,QQQ,741.8504,742.183,741.76,741.83,0
2026-06-02 08:00:00,TQQQ,85.74,85.84,85.71,85.74,0
2026-06-02 08:00:00,VIX,16.17,16.18,16.139999,16.16,0
2026-06-02 08:15:00,QQQ,741.8,742.5,741.63,742.289,0
2026-06-02 08:15:00,TQQQ,85.7399,85.97,85.6798,85.88,0
2026-06-02 08:15:00,VIX,16.16,16.190001,16.139999,16.139999,0
2026-06-02 08:30:00,QQQ,742.08,742.555,741.77,742.41,0
2026-06-02 08:30:00,TQQQ,85.88,85.97,85.69,85.93,0
2026-06-02 08:30:00,VIX,16.15,16.200001,16.15,16.15,0
2026-06-02 08:45:00,QQQ,742.3901,742.74,741.71,741.785,0
2026-06-02 08:45:00,TQQQ,85.93,85.94,85.71,85.72,0
2026-06-02 08:45:00,VIX,16.15,16.18,16.15,16.17,0
2026-06-02 09:00:00,QQQ,741.8,741.94,740.685,740.93,0
2026-06-02 09:00:00,TQQQ,85.74,85.7797,85.33,85.42,0
2026-06-02 09:00:00,VIX,16.17,16.290001,16.16,16.25,0
2026-06-02 09:15:00,QQQ,740.96,742.48,738.7245,742.44,0
2026-06-02 09:15:00,TQQQ,85.4188,85.97,85.39,85.96,0
2026-06-02 09:15:00,VIX,16.25,16.25,16.18,16.18,0
2026-06-02 09:30:00,QQQ,742.460022,742.659973,739.22998,741.155029,4120573
2026-06-02 09:30:00,TQQQ,85.949997,86.014999,84.831299,85.485001,8741527
2026-06-02 09:30:00,VIX,16.139999,16.200001,16.129999,16.15,0
2026-06-02 09:45:00,QQQ,741.119995,743.599976,741.02002,743.52002,1770290
2026-06-02 09:45:00,TQQQ,85.495003,86.339996,85.455002,86.305,4082306
2026-06-02 09:45:00,VIX,16.129999,16.129999,16.07,16.07,0
2026-06-02 10:00:00,QQQ,743.539978,744.659973,742.765991,744.320007,1597842
2026-06-02 10:00:00,TQQQ,86.309998,86.720001,86.07,86.605003,3501669
2026-06-02 10:00:00,VIX,16.059999,16.08,15.96,15.99,0
2026-06-02 10:15:00,QQQ,744.349976,744.400085,741.98999,742.5448,1443312
2026-06-02 10:15:00,TQQQ,86.600098,86.629997,85.779999,85.967499,2852491
2026-06-02 10:15:00,VIX,16.0,16.129999,15.98,16.110001,0
2026-06-02 10:30:00,QQQ,742.530029,744.099976,742.440002,744.080017,1088873
2026-06-02 10:30:00,TQQQ,85.960098,86.529999,85.940002,86.520103,2457697
2026-06-02 10:30:00,VIX,16.120001,16.120001,16.040001,16.049999,0
2026-06-02 10:45:00,QQQ,744.099915,744.570007,743.549988,744.539978,1165686
2026-06-02 10:45:00,TQQQ,86.514999,86.68,86.330002,86.68,2161146
2026-06-02 10:45:00,VIX,16.049999,16.059999,16.01,16.01,0
2026-06-02 11:00:00,QQQ,744.549988,745.109985,743.789978,745.10498,875226
2026-06-02 11:00:00,TQQQ,86.68,86.875,86.419998,86.875,1574769
2026-06-02 11:00:00,VIX,16.01,16.08,15.99,15.99,0
2026-06-02 11:15:00,QQQ,745.119995,745.369995,744.789978,745.099976,1276902
2026-06-02 11:15:00,TQQQ,86.867996,86.970001,86.760002,86.871002,1614403
2026-06-02 11:15:00,VIX,15.99,16.040001,15.98,16.01,0
2026-06-02 11:30:00,QQQ,745.070129,745.580017,744.740112,745.140015,667051
2026-06-02 11:30:00,TQQQ,86.870003,87.040001,86.745003,86.889999,1122483
2026-06-02 11:30:00,VIX,16.01,16.040001,15.96,16.040001,0
2026-06-02 11:45:00,QQQ,745.159973,745.890015,744.929993,745.700012,821889
2026-06-02 11:45:00,TQQQ,86.870003,87.139999,86.815002,87.074997,1129243
2026-06-02 11:45:00,VIX,16.040001,16.059999,16.02,16.030001,0
2026-06-02 12:00:00,QQQ,745.690002,746.219971,745.179993,745.929993,574762
2026-06-02 12:00:00,TQQQ,87.080002,87.25,86.894997,87.160004,1092020
2026-06-02 12:00:00,VIX,16.030001,16.059999,15.97,15.97,0
2026-06-02 12:15:00,QQQ,745.960022,745.960022,744.760498,744.950012,481706
2026-06-02 12:15:00,TQQQ,87.152,87.152397,86.754997,86.817497,1072791
2026-06-02 12:15:00,VIX,15.98,16.040001,15.98,16.030001,0
2026-06-02 12:30:00,QQQ,744.960876,745.340027,744.52002,744.695007,572375
2026-06-02 12:30:00,TQQQ,86.815002,86.949997,86.670097,86.724998,860968
2026-06-02 12:30:00,VIX,16.040001,16.040001,15.98,15.98,0
2026-06-02 12:45:00,QQQ,744.669983,745.799988,744.559998,745.756287,1097161
2026-06-02 12:45:00,TQQQ,86.7201,87.099998,86.68,87.084999,1530645
2026-06-02 12:45:00,VIX,15.98,15.99,15.91,15.92,0
2026-06-02 13:00:00,QQQ,745.72998,746.02002,745.390015,745.820129,494142
2026-06-02 13:00:00,TQQQ,87.080299,87.179901,86.970001,87.119904,797104
2026-06-02 13:00:00,VIX,15.92,15.96,15.9,15.92,0
2026-06-02 13:15:00,QQQ,745.830017,745.830017,744.309998,744.554993,677548
2026-06-02 13:15:00,TQQQ,87.120003,87.129898,86.584999,86.675003,940347
2026-06-02 13:15:00,VIX,15.92,16.049999,15.92,16.049999,0
2026-06-02 13:30:00,QQQ,744.559998,744.700012,743.734985,744.380005,757268
2026-06-02 13:30:00,TQQQ,86.672997,86.729401,86.389999,86.614998,972209
2026-06-02 13:30:00,VIX,16.049999,16.08,15.99,15.99,0
2026-06-02 13:45:00,QQQ,744.380005,744.715027,744.140015,744.200012,530161
2026-06-02 13:45:00,TQQQ,86.609901,86.730003,86.529999,86.550102,704225
2026-06-02 13:45:00,VIX,15.99,16.0,15.95,15.97,0
2026-06-02 14:00:00,QQQ,744.200012,745.070007,743.905029,744.695007,462840
